text,label
a bicycle replica with a clock as the back of it. <|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0
a black honda motorcycle parked in front of a building.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoft,0
a room with blue walls and a white bathroom.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endo,0
a car that seems to be parked illegally near an intersection.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|,0
a large passenger airplane flying through the air with a plane in the background.<|endoftext|><|endoftext|><|endoft,0
there is a gol plane taking off in the air.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endof,0
blue and white color scheme in a small bathroom.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|,0
this is a blue and white bathroom with a bathtub. <|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0
a blue boat themed bathroom with a life jacket and toilet.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|end,0
the bike has a clock as a tire next to it.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoft,0
a honda motorcycle parked in a grassy field on a sunny day.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|en,0
two cars parked on the sidewalk on the sidewalk.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|,0
"an airplane that is, either, landing or taking off.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|",0
a bathroom with walls that are painted baby blue.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><,0
"a bathroom with a toilet, sink, and shower.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endof",0
"a long empty, minimal modern skylight.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|",0
an office cubicle with four different types of computers.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endo,0
a bathroom sink with toiletries on the wall and a large mirror.<|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0
a small closed toilet in a cramped space.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endofte,0
two women waiting at a bench next to a small black and white car.<|endoftext|><|endoftext|><|endoftext|><|endoftext,0
a bathroom sink and various personal hygiene items inside a sink.<|endoftext|><|endoftext|><|endoftext|><|endoftext,0
this is an open box containing four cucumbers.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|en,0
an old-fashioned green station wagon is parked in front of a kitchen.<|endoftext|><|endoftext|><|endoftext|><|endof,0
a gas stove next to a stainless steel oven.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endof,0
a black metal bicycle with a clock inside and a car in the background.<|endoftext|><|endoftext|><|endoftext|><|endo,0
a black honda motorcycle with a dark green hood.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|,0
a tan toilet and sink combination in a kitchen.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|e,0
several motorcycles riding down the road in a parking lot.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|end,0
